Deal Name,Forecast Delta,RL Forecast,Total Amount,Deal Stage,Days in Stage
Small Concrete Car,-16845,60641,774863,New,9
Licensed Cotton Gloves,-15332,55194,705258,New,9
Refined Cotton Computer,-11034,39724,507582,New,9
Tasty Granite Salad,-9955,35836,457908,New,9
Licensed Concrete Mouse,-9309,33514,428236,New,6
Handcrafted Bronze Hat,-9181,33051,422324,New,9
Recycled Frozen Shoes,-9018,32465,414832,New,6
Unbranded Fresh Bike,-8185,29467,376525,New,9
Recycled Steel Bike,-6333,22799,291321,New,6
Tasty Frozen Tuna,-5335,19206,245405,New,9
Fantastic Plastic Bacon,-5062,18223,232848,New,6
Intelligent Cotton Tuna,-4970,17892,228626,New,9
Intelligent Granite Towels,-4120,14833,189531,New,6
Practical Rubber Chair,-2824,10167,129906,New,6
Generic Frozen Towels,-2133,7680,98130,New,6
Modern Rubber Chair,-20,73,937,New,9
Electronic Rubber Fish,-18,64,817,New,9
Modern Granite Pizza,-16,58,744,New,9
Tasty Soft Car,-15,53,678,New,9
Handcrafted Rubber Hat,-14,51,655,New,9
Small Cotton Cheese,-13,48,616,New,9
Licensed Granite Tuna,-13,47,605,New,9
Gorgeous Concrete Chips,-9,33,425,New,9
Electronic Metal Chair,-7,26,329,New,9
Licensed Rubber Chicken,-7,24,307,New,9
Sleek Steel Chips,-5,18,231,New,9
Intelligent Concrete Chair,-2,8,105,New,9
Intelligent Soft Table,-2,8,101,New,9
