Deal Name,Deal URL,Forecast Delta,RL Forecast,Total Amount,Deal Stage,Days In Stage
Anvil Industries - New Deal,https://www.revenuelens.ai/,-5750,17250,115000,Technical Validation,34
Fusion Networks - New Deal,https://www.revenuelens.ai/,-7125,21375,95000,Technical Validation,39
Cobalt Networks - New Deal,https://www.revenuelens.ai/,-9750,29250,130000,Technical Validation,40
Onyx Enterprises - New Deal,https://www.revenuelens.ai/,-8400,25200,112000,UC Identified,40
Axiom Innovations - New Deal,https://www.revenuelens.ai/,-9750,29250,130000,UC Identified,47
Helios Technologies - New Deal,https://www.revenuelens.ai/,-5625,16875,75000,UC Identified,63
Solaris Solutions - New Deal,https://www.revenuelens.ai/,-12375,37125,165000,UC Identified,70
Redshift Technologies - New Deal,https://www.revenuelens.ai/,-8500,0,85000,Qualified,76
Helix Networks - New Deal,https://www.revenuelens.ai/,-10500,0,105000,Qualified,24
Vortex Computing - New Deal,https://www.revenuelens.ai/,-6500,0,65000,Qualified,24
